"","GV_6d_exp_value","6d_exp_value","6d_ref_exp_value"
"253627_at",11.9081814477921,11.8676931821188,11.8822991767732
"253628_at",3.83820406946545,5.06392966542739,3.72444974468233
"253629_at",8.37802732517775,7.69699972341319,8.1093861489533
"253630_at",9.08742278084941,8.5457078220185,8.94130658519143
"253631_at",10.7785600491432,10.3213542914191,10.6399756391901
"253632_at",4.15876742935999,3.81246807158218,4.08964667278312
"253633_at",7.77248172540561,7.95779693554524,7.78897966311631
"253634_at",3.98877587056157,4.00473633756995,4.03688615575251
"253635_at",6.535297593562,7.06628690183783,6.85601367058729
"253636_at",6.86049652734018,7.05515515564122,6.97152558420577
"253637_at",7.22295151014213,7.07405321265502,7.30376728600333
"253638_at",7.4152865489805,7.75883853166219,7.17855992732552
"253639_at",9.54713093830365,9.08588322604848,9.38831995987156
"253640_at",7.69596022481372,7.45759816029475,7.74977223017615
"253641_at",3.85993811971418,3.67488385056549,3.6709999924553
"253642_at",7.62919066808001,7.76899413452044,7.73178239289791
"253643_at",6.67885242269926,5.82621694802511,6.58333237609084
"253644_at",8.9626943584577,9.04886850504248,8.99780177682461
"253645_at",7.91106657821133,8.15242636118156,7.99572763983493
"253646_at",8.58602924144859,8.74398606327826,8.59168368540031
"253647_at",8.84352298721451,8.51573661242747,8.73881994138267
"253648_at",5.29058086401037,5.5956866523883,5.40353043351482
"253649_at",6.37017629972057,6.20532710872772,6.27820570589595
"253650_at",9.82540229240429,10.669932217263,10.0556132271438
"253651_at",3.2576401459868,3.19972918784651,3.14051858088758
"253652_at",3.31513809049187,3.29394666537508,3.29307659900466
"253653_at",3.14608615078812,3.11390739830125,3.08128388440609
"253654_at",5.08098939216556,5.35117604193842,5.32979409195922
"253655_at",3.30562066934059,3.40568867885487,3.37473332515267
"253656_at",4.77323124633196,5.20766831340138,5.02820648336947
"253657_at",6.55171330598283,5.55242061598852,6.25596143081164
"253658_at",3.8196475140447,3.77542310679412,3.72253353712774
"253659_at",6.36209794573892,6.77574909447143,6.37039539637952
"253660_at",3.41919003364908,3.40071271678595,3.40210569218904
"253661_at",4.4464406002009,4.29393796711518,4.28209900527989
"253662_at",7.20633316175255,6.77658174050249,7.0259590494642
"253663_at",6.78356561585735,7.28116439584081,7.00075409600205
"253664_at",9.72365813165479,9.219997682077,9.57722410679304
"253665_at",4.63334781449413,4.58785010369705,4.74334176838666
"253666_at",10.3377799900218,9.05714252675808,10.3150699570368
"253667_at",3.48335908277451,3.85790081277981,3.61858257456057
"253668_at",8.75004318807159,9.31716737179849,8.94889198844144
"253669_at",5.17332695960858,5.39306400338554,5.44859318783894
"253670_at",10.7759284457092,11.1119197750872,10.9679051979477
"253671_at",4.50819277516547,4.34179186639049,4.34006672478412
"253672_at",7.4665704448254,7.16380796439123,7.34766720387922
"253673_at",6.48993022487185,6.48045712529547,6.51822046164644
"253674_at",5.04269405934848,5.23080583191882,5.10984718107477
"253675_at",4.13317471207929,4.18675075083524,4.05476680918904
"253676_at",3.66459787038815,3.56260895845653,3.50732346382803
"253677_at",3.45436628175199,3.43152974771744,3.48917449814276
"253678_at",2.98448385804428,2.91734518054692,2.95547162518134
"253679_at",3.94369055007929,3.88906540783736,4.01921873525269
"253680_at",3.42561697371785,3.27591257352397,3.30854705499411
"253681_at",3.83713029500283,3.62525980644102,3.73912740682908
"253682_at",4.18913098466697,4.1288325056301,4.14361904234969
"253683_at",4.24513073105752,4.27289322543138,4.16166759070561
"253684_at",3.38697148578209,3.64863636604945,3.48412180901415
"253685_at",3.10209258731827,3.0989362473372,3.06445311371924
"253686_at",6.29323397145163,6.27645856590696,6.25779055635751
"253687_at",6.72032963332456,7.68884325205747,6.99449018449682
"253688_at",6.62656908547045,6.5048149317786,6.35974764480397
"253689_at",3.8246696951805,3.76103977268117,3.68995324089327
"253690_at",4.43175968879974,4.31921037470481,4.2817003775259
"253691_at",7.72539778628202,7.80573735780036,7.70681224858003
"253692_at",8.6991670341901,8.41656594615311,8.73813859480276
"253693_at",8.03441908860454,7.79160701038844,8.11782876627254
"253694_at",9.68966670699536,10.0681278306822,9.86253258937435
"253695_at",8.20374331065631,8.6130843976697,8.21626308530877
"253696_at",3.85944764753496,3.66723917143717,3.7869833514428
"253697_at",5.42922189661855,6.81481680956613,6.18107405777703
"253698_at",8.48753453554192,8.7866392630983,8.40043218337969
"253699_at",5.49387406096952,4.69810563535054,5.32493353968644
"253700_at",8.71789483785676,8.96389871154562,8.60457619510301
"253701_at",7.50815237151943,7.25481341966338,7.55191985143995
"253702_at",9.43916005378239,9.1368350089581,9.30815322496958
"253703_at",6.1650088318076,6.2749837529021,6.19474917585319
"253704_at",9.32149206993999,9.10902694660914,9.20273305056797
"253705_at",9.17977889492117,9.19512672820605,9.11143914643731
"253706_at",7.87608591545795,8.0928244733494,7.89471507292363
"253707_at",3.23462251386278,3.31884730320635,3.32138924549763
"253708_at",7.43314138208573,7.17910494918875,7.34241670479733
"253709_at",8.35328775377491,8.2564674109709,8.45910946890939
"253710_at",6.71099368998103,6.0220375914495,6.28988290660177
"253711_at",2.83311281226324,2.81777534710108,2.82638437437399
"253712_at",8.2802442181334,8.39994201754128,8.35275459244963
"253713_at",4.50934853132091,4.47186024706167,4.39668362404175
"253714_at",7.07804899225406,6.9104799113753,6.99177500649796
"253715_at",11.0007780429458,11.5020089555974,11.1121192415038
"253716_at",5.96611813895104,5.75822967042981,5.90714606707098
"253717_at",6.36686411698224,6.38708870400507,6.32416572087409
"253718_at",3.42534352437942,3.39714942483533,3.43649401503868
"253719_at",8.3165035823978,8.00435578445283,8.22935495565135
"253720_at",4.2746143343762,5.69250936154307,5.75536029829704
"253721_at",4.21643383428633,4.24626785584381,4.07557309306774
"253722_at",10.5999353193638,9.47543778874663,10.0676326618441
"253723_at",5.34963681803527,6.05389691342578,5.62525490451033
"253724_at",3.21375194867261,3.12769765818001,3.03347923262227
"253725_at",5.16911168821528,5.72016795078068,5.20583670523919
"253726_at",5.63161736018004,6.45976468229798,6.08182880816391
"253727_at",11.9625711836283,11.9522081135321,11.9847364884533
"253728_at",9.71735362861666,10.4750846504607,9.8739065149452
"253729_at",6.59621783662767,7.15927991318434,6.75037079897044
"253730_at",9.76197401811857,10.1480166049857,9.91628957545639
"253731_at",7.53931907124641,7.41809420672655,7.30227077707054
"253732_at",5.92386665187521,5.89982067551921,5.89482069374438
"253733_at",3.4554014959628,3.6947763473725,3.61875147827938
"253734_at",3.91671047636034,3.78297799071718,3.90905091667511
"253735_at",8.34874995320378,8.15974416455302,8.0380865762824
"253736_at",3.27281827356264,3.23239583716666,3.1562536712156
"253737_at",5.41592103014283,4.66967470594188,5.46745692299564
"253738_at",11.2094842587532,11.1489951569582,11.2247823497674
"253739_at",6.23897844939308,6.3146489282224,6.25752386877747
"253740_at",7.33732391344894,7.52084208745113,7.4891878955825
"253741_at",4.18332717028106,4.06333557438589,4.20300360751948
"253742_at",4.15640679327883,4.08126315005383,4.07580140641612
"253743_at",5.94375593573496,5.55798120404741,5.88379018257782
"253744_s_at",2.85252185464698,2.86338297197503,2.87881186052634
"253745_at",2.96180363297871,2.93016043526731,2.97453506296108
"253746_at",9.5018336641692,8.82739784171927,9.33088856058056
"253747_at",4.63184770854908,4.44739805813107,4.47124526783854
"253748_at",6.30708352506198,6.54703283678258,6.37809833417983
"253749_at",11.1899792277933,10.6876197567054,11.1053629290428
"253750_at",5.45458278217166,5.23770825804385,5.30950413658867
"253751_at",8.65411572273669,8.27570514693538,8.5858825981834
"253752_at",9.03793151773566,9.02558665915412,8.97009946955791
"253753_at",3.88769852428887,3.85223096041699,3.82807224700264
"253754_at",5.76404571683427,5.78365580003621,5.68205787746648
"253755_at",10.2887700712869,10.3237702623771,10.1930510340924
"253756_at",7.81371514864805,7.90188967051299,7.8687254160567
