"","d35_gene_exp_value","d35_ref_gene_exp_value"
"261945_at",6.46992090605315,7.22960232153691
"261946_at",5.61014745805972,5.64986849541624
"261947_at",6.98084791885946,7.65186027197877
"261948_at",9.97403993732141,6.92784439754878
"261949_at",5.84609838185902,5.61847644668509
"261950_at",8.13632712111841,8.46456948624006
"261951_at",6.79774563372173,7.20786341040449
"261952_at",8.13890145519903,7.23861158151712
"261953_at",6.9053311127863,7.03825760564316
"261954_at",9.31581252820657,8.28939202742438
"261955_at",9.75785260034906,10.4404522230437
"261956_at",6.24054213769322,7.32488546032885
"261957_at",9.58839138403462,10.9989094735642
"261958_at",7.87237428165978,4.89002476264509
"261959_s_at",6.09387224917664,6.01511103455872
"261960_at",3.97383693576141,3.86840676654815
"261961_at",5.48603813464804,5.50707045427177
"261962_s_at",4.1007701950967,4.12658313602343
"261963_at",3.88627216870556,4.00522170971167
"261964_at",4.48963079146637,4.63116709090321
"261965_at",3.68821544537818,3.72649401790044
"261966_x_at",4.47508793731973,4.40454289200738
"261967_at",4.81911023727437,4.84423256576071
"261968_at",5.64772895472504,5.60001223799491
"261969_at",6.49375582815622,6.09244801762201
