"","probe_id","Gene.symbol.x","AGI","logFC.GV","logFC.C58","age"
"485","265586_at","PR-1-LIKE","AT2G19990",0.42704,1.68,"MC"
"486","265588_at","AT2G19970","AT2G19970",1.16503333,2.33,"MC"
"487","265680_at","AT2G32150","AT2G32150",-0.37431667,-1.08,"UC"
"488","265685_at","NAC038","AT2G24430",-0.22089333,-0.347,"MC"
"489","265922_at","AT2G18480","AT2G18480",-0.25973333,-0.396,"UC"
"490","265948_at","ACO1","AT2G19590",0.68929667,1.39,"MC"
"491","266001_at","HHP3","AT2G24150",0.30123333,0.284,"UC"
"492","266017_at","AT2G18690","AT2G18690",0.38097333,0.727,"MC"
"493","266021_at","AT2G05910","AT2G05910",-0.38821333,-0.795,"MC"
"494","266059_at","AT2G40765","AT2G40765",0.29221667,0.642,"MC"
"495","266123_at","AT2G45180","AT2G45180",0.61828,-0.781,"MC"
"496","266156_at","FRA8","AT2G28110",-0.29239333,-0.437,"UC"
"497","266167_at","YLS5","AT2G38860",0.95457,0.831,"UC"
"498","266168_at","AT2G38870","AT2G38870",0.43896667,0.215,"MC"
"499","266226_at","AT1G07820///AT1G07660///AT5G59970///AT5G59690///AT3G53730///AT3G46320///AT3G45930///HIS4","AT2G28740",0.20763,0.556,"UC"
"500","266253_at","HDT4","AT2G27840",0.17791667,0.956,"MC"
"501","266290_at","GSTU1","AT2G29490",0.50342667,0.674,"MC"
"502","266296_at","GSTU7","AT2G29420",0.41801667,0.548,"MC"
"503","266297_at","PCNA2","AT2G29570",0.28620667,0.791,"UC"
"504","266334_at","AT2G32380","AT2G32380",0.27053333,0.631,"UC"
"505","266353_at","MLP328","AT2G01520",0.79766333,0.674,"MC"
"506","266396_at","AT2G38790","AT2G38790",-0.25205333,-0.668,"MC"
"507","266428_at","AT2G07180","AT2G07180",0.39195333,0.229,"MC"
"508","266500_at","PLA2-ALPHA","AT2G06925",0.38784333,0.892,"MC"
"509","266514_at","AT2G47890","AT2G47890",-0.49915333,-0.735,"MC"
"510","266532_at","AT2G16890","AT2G16890",-0.21711667,-0.309,"MC"
"511","266597_at","WRKY43","AT2G46130",-0.29280333,-0.432,"MC"
"512","266613_at","AT2G14900","AT2G14900",0.67093333,0.628,"MC"
"513","266693_at","MIOX2","AT2G19800",-0.50998333,-1.21,"UC"
"514","266761_at","AT2G47130","AT2G47130",0.39903667,0.454,"UC"
"515","266890_at","MTACP-1","AT2G44620",0.23515333,0.357,"UC"
"516","266928_at","PMM","AT2G45790",0.21946667,0.432,"UC"
"517","266946_at","AT2G18890","AT2G18890",-0.18041333,-0.503,"MC"
"518","266959_at","MCM5","AT2G07690",0.19237667,0.558,"UC"
"519","266993_at","AT2G39210","AT2G39210",1.09902667,0.917,"UC"
"520","267144_at","GPAT6","AT2G38110",-0.36400333,-0.778,"MC"
"521","267154_at","GSTF10","AT2G30870",0.18006667,0.428,"UC"
"522","267288_at","AT2G23680","AT2G23680",0.39165,0.244,"MC"
"523","267298_at","BLH4","AT2G23760",-0.29854,-0.547,"MC"
"524","267377_at","KCS10","AT2G26250",-0.31076,-0.38,"MC"
"525","267496_at","AT2G30550","AT2G30550",-0.25873333,-0.324,"MC"
"526","267565_at","CYP71A12","AT2G30750",0.95330667,0.557,"UC"
"527","267567_at","CYP71A13","AT2G30770",2.26195333,2.45,"UC"
